11402463,30900,Cars for Sale,sale,Phnom Penh,,CHANGAN,UNI-T,2023,Plate Number,,SUV,Petrol,Auto,White,kh24,,,
11550701,1,Parts & Accessories,,Phnom Penh,,,,,,,,,,,kh24,,,
11782155,45900,Cars for Sale,sale,Phnom Penh,,Ford,Ranger,2023,Plate Number,,Pickup,Diesel,Auto,Silver,kh24,,,
11311183,13900,Cars for Sale,sale,Phnom Penh,,Other,,2021,Plate Number,,SUV,Petrol,Auto,Black,kh24,,,
11550714,160,Parts & Accessories,,Phnom Penh,,,,,,,,,,,kh24,,,
11406172,12,Parts & Accessories,,Phnom Penh,,,,,,,,,,,kh24,,,
11550712,125,Parts & Accessories,,Phnom Penh,,,,,,,,,,,kh24,,,
11550719,220,Parts & Accessories,,Phnom Penh,,,,,,,,,,,kh24,,,
11550717,35,Parts & Accessories,,Phnom Penh,,,,,,,,,,,kh24,,,
11954519,38500,Cars for Sale,sale,Phnom Penh,,Mercedes-Benz,Other,2015,Tax Paper,,Sedan,Petrol,Auto,White,kh24,,,
11884684,38500,Cars for Sale,sale,Phnom Penh,,Lexus,NX,2015,Tax Paper,,SUV,Petrol,Auto,White,kh24,,,
11961053,1900,Motorcycles For Sale,,Phnom Penh,,,,,Plate Number,,,,,Black,kh24,,,
11473694,24900,Cars for Sale,sale,Phnom Penh,,Lexus,CT,2015,Tax Paper,,Sedan,Hybrid,Auto,White,kh24,,,
11473710,37000,Cars for Sale,sale,Phnom Penh,,Lexus,NX,2016,Plate Number,,SUV,Petrol,Auto,White,kh24,,,
11927462,9600,Cars for Sale,sale,Phnom Penh,,Toyota,Prius,2006,Plate Number,,Sedan,Petrol,Auto,Silver,kh24,,,
11950388,11500,Cars for Sale,sale,Phnom Penh,,Toyota,Prius,2008,Tax Paper,,Sedan,Hybrid,Auto,Gray,kh24,,,
11383819,150,Parts & Accessories,,Phnom Penh,,,,,,,,,,,kh24,,,
11304410,9,Parts & Accessories,,Phnom Penh,,,,,,,,,,,kh24,,,
11795158,65,Parts & Accessories,,Phnom Penh,,,,,,,,,,,kh24,,,
11751909,9700,Cars for Sale,sale,Phnom Penh,,Kia,Ray,2012,Tax Paper,,SUV,Petrol,Auto,Blue,kh24,,,
11954819,5199,Motorcycles For Sale,,Phnom Penh,,,,,Tax Paper,,,,,Green,kh24,,,
11934208,2850,Motorcycles For Sale,,Phnom Penh,,,,,Tax Paper,,,,,Orange,kh24,,,
11841511,2933,Motorcycles For Sale,,Phnom Penh,,,,,Tax Paper,,,,,Blue,kh24,,,
11912990,950,Motorcycles For Sale,,Phnom Penh,,,,,Plate Number,,,,,Black,kh24,,,
11609319,1100,Motorcycles For Sale,,Phnom Penh,,,,,Plate Number,,,,,White,kh24,,,
11815000,2700,Motorcycles For Sale,,Phnom Penh,,,,,Tax Paper,,,,,Other,kh24,,,
11855043,580,Motorcycles For Sale,,Phnom Penh,,,,,Plate Number,,,,,Blue,kh24,,,
11738591,420,Motorcycles For Sale,,Phnom Penh,,,,,Plate Number,,,,,Black,kh24,,,
11704107,560,Motorcycles For Sale,,Phnom Penh,,,,,Plate Number,,,,,Blue,kh24,,,
11878174,730,Motorcycles For Sale,,Phnom Penh,,,,,Plate Number,,,,,White,kh24,,,
11881162,350,Motorcycles For Sale,,Phnom Penh,,,,,Tax Paper,,,,,Purple,kh24,,,
11939598,6300,Motorcycles For Sale,,Phnom Penh,,,,,Plate Number,,,,,Other,kh24,,,
11925127,680,Motorcycles For Sale,,Phnom Penh,,,,,Plate Number,,,,,Other,kh24,,,
11598047,2200,Motorcycles For Sale,,Siem Reap,,,,,Plate Number,,,,,Green,kh24,,,
11475797,3260,Motorcycles For Sale,,Siem Reap,,,,,Plate Number,,,,,White,kh24,,,
11938645,8700,Cars for Sale,sale,Battambang,,Toyota,Corolla,2003,Plate Number,,,,,White,kh24,,,
11961019,9999,Cars for Sale,sale,Kandal,,Toyota,Highlander,2001,Plate Number,,SUV,Petrol,Auto,Red,kh24,,,
11785696,68,Others,,Phnom Penh,,,,,,,,,,,kh24,,,
11936392,68,Parts & Accessories,,Phnom Penh,,,,,,,,,,,kh24,,,
11961010,12000,Cars for Sale,sale,Phnom Penh,,Hyundai,Starex,2010,Plate Number,,SUV,Diesel,Auto,White,kh24,,,
11841801,34999,Cars for Sale,sale,Phnom Penh,,Toyota,Land Cruiser,2009,Plate Number,,SUV,Petrol,Auto,Gold,kh24,,,
11936434,499,Others,,Phnom Penh,,,,,,,,,,,kh24,,,
11676676,268,Others,,Phnom Penh,,,,,,,,,,,kh24,,,
11913105,37800,Cars for Sale,sale,Phnom Penh,,Lexus,RX350,2010,Plate Number,,SUV,Petrol,Auto,White,kh24,,,
11708040,18500,Cars for Sale,sale,Phnom Penh,,Toyota,Highlander,2003,Tax Paper,,SUV,Petrol,,Gold,kh24,,,
11872861,650,Motorcycles For Sale,,Phnom Penh,,,,,Plate Number,,,,,Black,kh24,,,
11960991,10500,Lorries, Vans & Tractors,,Phnom Penh,,,,,,,Other,,,,kh24,,,
11960989,8400,Cars for Sale,sale,Phnom Penh,,Toyota,RAV4,2001,Plate Number,,SUV,Petrol,Auto,Silver,kh24,,,
11913853,31000,Cars for Sale,sale,Phnom Penh,,Ford,Territory,2022,Plate Number,,SUV,Petrol,Auto,White,kh24,,,
11960982,16800,Cars for Sale,sale,Phnom Penh,,Other,,2010,Plate Number,,Other,Petrol,Auto,White,kh24,,,
11941061,50700,Cars for Sale,sale,Phnom Penh,,Toyota,Alphard,2015,Tax Paper,,MPV (Minivan),Hybrid,Auto,White,kh24,,,
11862637,16500,Cars for Sale,sale,Phnom Penh,,Toyota,Tundra,2007,Plate Number,,Pickup,Petrol,Auto,White,kh24,,,
11862610,22800,Cars for Sale,sale,Phnom Penh,,Toyota,Tundra,2010,Plate Number,,Pickup,LPG,Auto,White,kh24,,,
11862596,15800,Cars for Sale,sale,Phnom Penh,,Toyota,Tundra,2007,Plate Number,,Pickup,LPG,Auto,Gold,kh24,,,
11923188,11200,Cars for Sale,sale,Phnom Penh,,Toyota,Prius,2007,Plate Number,,Sedan,Petrol,Auto,Gray,kh24,,,
11897234,13500,Cars for Sale,sale,Phnom Penh,,Toyota,Highlander,2002,Plate Number,,SUV,Petrol,Auto,Gray,kh24,,,
