carId,price,category,type,location,posted,brand,model,year,taxType,condition,bodyType,fuel,transmission,color,source
4767955,168,parts & accessories,,phnom penh,01-apr-24,,,,,used,,,,,kh24,,,
10646383,3000,cars for sale,sale,phnom penh,01-apr-24,toyota,land cruiser,1992,plate number,used,suv,diesel,auto,red,kh24,,,
10457307,100,parts & accessories,,phnom penh,01-apr-24,,,,,new,,,,,kh24,,,
10739925,20,parts & accessories,,phnom penh,01-apr-24,,,,,new,,,,,kh24,,,
10769572,2100,motorcycles for sale,,phnom penh,01-apr-24,,,2022,plate number,used,,,,white,kh24,,,
10769569,2750,cars for sale,sale,phnom penh,01-apr-24,toyota,hilux vigo,1992,plate number,used,suv,diesel,auto,blue,kh24,,,
10645574,4100,cars for sale,sale,phnom penh,01-apr-24,toyota,rav4,1997,plate number,used,sedan,petrol,auto,orange,kh24,,,
10759989,1300,tuk tuk & remork,,phnom penh,01-apr-24,,,,,,,,,,kh24,,,
10603938,40000,cars for sale,sale,phnom penh,01-apr-24,ssangyong,rexton,2021,plate number,used,suv,diesel,auto,black,kh24,,,
10184080,23000,motorcycles for sale,,phnom penh,01-apr-24,,,2019,tax paper,used,,,,brown,kh24,,,
10520689,56900,cars for sale,sale,phnom penh,01-apr-24,toyota,land cruiser,2013,plate number,used,suv,petrol,auto,white,kh24,,,
10691208,580,motorcycles for sale,,phnom penh,01-apr-24,,,2009,plate number,used,,,,black,kh24,,,
10742349,12500,cars for sale,sale,phnom penh,01-apr-24,toyota,highlander,2002,plate number,used,,petrol,manual,silver,kh24,,,
10756334,25000,cars for sale,sale,phnom penh,01-apr-24,toyota,alphard,2010,plate number,used,,,auto,gold,kh24,,,
10764909,550,motorcycles for sale,,phnom penh,01-apr-24,,,2011,plate number,used,,,,silver,kh24,,,
10764901,550,motorcycles for sale,,phnom penh,01-apr-24,,,2021,plate number,used,,,,blue,kh24,,,
10764894,950,motorcycles for sale,,phnom penh,01-apr-24,,,2005,tax paper,new,,,,blue,kh24,,,
