11408402,370,Vehicles For Rent,,Phnom Penh,,,,,,,,Petrol,Auto,,kh24,,,
11321704,23500,Cars for Sale,sale,Phnom Penh,,Kia,Carnival,2017,Tax Paper,,MPV (Minivan),Diesel,Auto,White,kh24,,,
11519596,61500,Cars for Sale,sale,Phnom Penh,,GAC,GN8,2024,Tax Paper,,MPV (Minivan),Petrol,Auto,Black,kh24,,,
11889664,16500,Cars for Sale,sale,Phnom Penh,,BAIC,D50,2022,Plate Number,,Sedan,Petrol,Auto,White,kh24,,,
11917582,61000,Cars for Sale,sale,Phnom Penh,,Jeep,Rubicon,2021,Plate Number,,SUV,Petrol,Auto,Other,kh24,,,
11962632,260,Motorcycles For Sale,,Banteay Meanchey,,,,,Plate Number,,,,,Red,kh24,,,
11962631,150,Bicycles,,Phnom Penh,,,,,,,,,,,kh24,,,
11931099,7000,Cars for Sale,sale,Phnom Penh,,Lexus,RX300,1999,Plate Number,,SUV,LPG,Auto,Silver,kh24,,,
11962629,51200,Cars for Sale,sale,Phnom Penh,,Toyota,Hilux Rally,2025,Tax Paper,,Pickup,Diesel,Auto,White,kh24,,,
11785775,63900,Cars for Sale,sale,Phnom Penh,,Ford,Ranger Raptor,2023,Plate Number,,Pickup,Petrol,Auto,Gray,kh24,,,
11897243,145000,Cars for Sale,sale,Phnom Penh,,Toyota,Land Cruiser,2022,Plate Number,,SUV,Petrol,Auto,Black,kh24,,,
11653017,61500,Cars for Sale,sale,Phnom Penh,,Ford,Ranger Raptor,2023,Plate Number,,Pickup,Diesel,Auto,Blue,kh24,,,
11945513,1800,Vehicles For Rent,,Phnom Penh,,,,,,,,Petrol,Auto,,kh24,,,
11871760,550,Vehicles For Rent,,Phnom Penh,,,,,,,,Petrol,Auto,,kh24,,,
11945508,3000,Vehicles For Rent,,Phnom Penh,,,,,,,,Diesel,Auto,,kh24,,,
11820865,1500,Vehicles For Rent,,Phnom Penh,,,,,,,,Diesel,Auto,,kh24,,,
11827949,15999,Cars for Sale,sale,Phnom Penh,,Toyota,Prius,2010,Tax Paper,,Hatchback,Hybrid,Auto,White,kh24,,,
11551793,1298,Vehicles For Rent,,Phnom Penh,,,,,,,,Petrol,Auto,,kh24,,,
11765014,79800,Cars for Sale,sale,Phnom Penh,,Toyota,Land Cruiser,2016,Plate Number,,SUV,Petrol,Auto,White,kh24,,,
11662224,33500,Cars for Sale,sale,Phnom Penh,,Lexus,IS,2016,Plate Number,,Sedan,,Auto,White,kh24,,,
11804467,93500,Cars for Sale,sale,Phnom Penh,,Toyota,Alphard,2019,Tax Paper,,MPV (Minivan),Petrol,Auto,White,kh24,,,
11912598,18500,Cars for Sale,sale,Phnom Penh,,Toyota,Prius,2012,Tax Paper,,,,Auto,Gray,kh24,,,
11621386,182500,Cars for Sale,sale,Phnom Penh,,Cadillac,Escalade ESV,2022,Plate Number,,,Petrol,Auto,Black,kh24,,,
