carId,price,category,type,location,posted,brand,model,year,taxType,condition,bodyType,fuel,transmission,color,source
11140084,1980,motorcycles for sale,,phnom penh,10-jul-24,,,2022,plate number,used,,,,black,kh24,,,
11140073,34500,cars for sale,sale,phnom penh,10-jul-24,jaguar,xj,2015,plate number,used,sedan,petrol,auto,white,kh24,,,
11109365,1750,motorcycles for sale,,phnom penh,10-jul-24,,,2003,plate number,used,,,,black,kh24,,,
10160083,1100, vehicles for rent,rent,phnom penh,10-jul-24,,,,,,,petrol,auto,,kh24,,,
11111170,19800,cars for sale,sale,phnom penh,10-jul-24,ford,bronco sport,2020,tax paper,new,sedan,petrol,auto,gray,kh24,,,
11140036,16500,cars for sale,sale,phnom penh,10-jul-24,mazda,cx-9,2019,plate number,used,other,petrol,auto,white,kh24,,,
10957802,12000,cars for sale,sale,banteay meanchey,10-jul-24,toyota,prius,2007,plate number,used,sedan,hybrid,auto,red,kh24,,,
11129514,66000,cars for sale,sale,phnom penh,10-jul-24,mercedes-benz,s400l,2015,plate number,used,other,,,other,kh24,,,
11056527,18500,cars for sale,sale,phnom penh,09-jul-24,mazda,mazda3,2015,plate number,used,sedan,,,white,kh24,,,
11121193,13000,cars for sale,sale,phnom penh,09-jul-24,lexus,rx300,2002,plate number,used,suv,petrol,auto,white,kh24,,,
11139889,41000,cars for sale,sale,phnom penh,09-jul-24,lexus,rc,2017,tax paper,new,sports,petrol,auto,white,kh24,,,
11139888,58000,cars for sale,sale,phnom penh,09-jul-24,mercedes-benz,gl-class,2015,tax paper,new,mpv (minivan),petrol,auto,black,kh24,,,
10795458,48000,cars for sale,sale,phnom penh,09-jul-24,toyota,land cruiser,2010,plate number,used,suv,petrol,,white,kh24,,,
11028004,13200,cars for sale,sale,phnom penh,09-jul-24,lexus,lx470,2000,plate number,used,suv,petrol,auto,yellow,kh24,,,
11139869,16800,cars for sale,sale,kampong speu,09-jul-24,toyota,prius,2010,tax paper,used,hatchback,hybrid,auto,white,kh24,,,
11139861,1550,bicycles,,phnom penh,09-jul-24,,,,,used,,,,,kh24,,,
10967708,1600,parts & accessories,,phnom penh,09-jul-24,,,,,used,,,,,kh24,,,
10967715,1500,parts & accessories,,phnom penh,09-jul-24,,,,,used,,,,,kh24,,,
10967723,900,parts & accessories,,phnom penh,09-jul-24,,,,,used,,,,,kh24,,,
10967731,1000,parts & accessories,,phnom penh,09-jul-24,,,,,used,,,,,kh24,,,
10967813,550, vehicles for rent,rent,phnom penh,09-jul-24,,,,,,,,auto,,kh24,,,
11139815,4300,cars for sale,sale,banteay meanchey,09-jul-24,toyota,rav4,1997,plate number,used,suv,petrol,auto,green,kh24,,,
11139772,54500,cars for sale,sale,phnom penh,09-jul-24,toyota,alphard,2015,plate number,used,mpv (minivan),petrol,auto,white,kh24,,,
10821108,1954,cars for sale,sale,kandal,09-jul-24,toyota,camry,1991,plate number,used,sedan,petrol,auto,white,kh24,,,
10779708,8600,cars for sale,sale,kandal,09-jul-24,nissan,frontier,2006,plate number,used,pickup,petrol,auto,white,kh24,,,
11139718,7100,cars for sale,sale,battambang,09-jul-24,kia,other - ផ្សេងៗ,2007,tax paper,new,other,diesel,manual,white,kh24,,,
9649868,13,parts & accessories,,phnom penh,09-jul-24,,,,,used,,,,,kh24,,,
